,nb,nb2,value
0,beto,cruz,1.175021056830589251258583858
1,beto,kavanaugh,0.03300152916774877565955940675
2,beto,women,1.155434619610982133946004124
3,beto,energy,1.223895124095454698479217564
4,beto,jobs,0.01550586554278784385769004479
5,cruz,kavanaugh,0.04685502343598571975545224435
6,cruz,women,0.1432553108880137556159520772
7,cruz,energy,1.562649268037310799777347815
8,cruz,jobs,1.575808419768151311775472849
9,kavanaugh,women,0.03972346225867352627916008198
10,kavanaugh,energy,0.03375250342229671230817986089
11,kavanaugh,jobs,0.1188783024947068029089570100
12,women,energy,0.05299225967284422399244946218
13,women,jobs,0.1866418557595028183263477381
14,energy,jobs,21.56784968684759916492693111
