restaurants,ratings,count
Wanderlust Food Trailer,5,10
Chicken Lollypop,4.944444444,70
Otherside Deli,4.941176471,68
Parisian Crepes,4.939393939,66
Kurry Takos,4.932692308,208
French Tex Cuisine,4.928571429,28
Trippy Tacos,4.857142857,41
Van’s Banh Mi,4.832258065,307
The B’s Kitchen -Vietnamese & Asian Cuisine,4.8125,157
Ceviche7,4.802197802,362
Santorini Cafe,4.75,368
1st Choice Mediterranean & Moroccan Food,4.733333333,29
Crossroads Farm to Truck,4.659090909,88
Nancy’s Sky Garden,4.647435897,309
Artessano,4.641791045,134
Cafe Divine,4.636363636,21
Odd Duck,4.619047619,41
Mission Dogs,4.575342466,145
Barley Swine,4.566037736,392
Winner Winner Rotisserie and Fine Foods,4.564102564,77
Uchiko,4.521052632,370
Supper Friends,4.482758621,57
The Halal Gurus,4.480874317,363
Fabi + Rosi,4.456989247,366
Pinch,4.449275362,136
Royal Jelly,4.430107527,366
Aster’s Ethiopian Restaurant,4.409574468,368
Asiana Indian Cuisine,4.383419689,373
Paperboy,4.379120879,362
Sa-Tén - Canopy,4.378378378,365
Hi Hat Public House,4.340659341,362
JuiceLand,4.331896552,459
Tuk Tuk Thai Cafe,4.316062176,373
Poke-Poke,4.306818182,172
Soursop,4.303030303,196
Waller Creek Pub House,4.273224044,363
Soto - South Lamar,4.263157895,226
Veracruz All Natural,4.243697479,235
Revelry Kitchen + Bar,4.243243243,293
Peoples Rx,4.239130435,92
Waltons Fancy and Staple,4.230769231,362
Ramen Tatsu-Ya,4.227027027,365
The Little Darlin’,4.196721311,363
Holy Roller,4.174863388,363
Blue Basil,4.162790698,85
Suerte,4.15060241,328
Pho Please,4.14516129,366
Bombay To Kathmandu Kitchen,4.135714286,274
Julie’s Handmade Noodles,4.096969697,327
Snap Kitchen,4.095588235,270
Velvet Taco,4.079787234,368
Darna Mediterranean Cuisine,4.072916667,190
Kerbey Lane Cafe,4.071038251,363
The Hightower,4.021857923,363
Sarah’s Mediterranean Grill & Market,4.015957447,368
The League Kitchen And Tavern,4,99
Sap’s Ver Fine Thai Cuisine,3.973262032,367
Mad Greens - South Austin,3.956521739,138
Kemuri Tatsu-ya,3.922222222,360
Sophia’s,3.91005291,369
Dan’s Hamburgers - Austin,3.901960784,203
BheemaS Austin Indian kitchen,3.897058824,134
First Watch,3.896296296,267
Bun Belly,3.887700535,367
Corner,3.879120879,362
Galaxy Cafe,3.876404494,177
Modern Market,3.861111111,72
Daruma Ramen,3.848648649,365
Mour Cafe,3.821656051,308
Upstairs at Caroline,3.806451613,185
My Thai Mom,3.805555556,143
Old Thousand,3.803278689,363
Café No Sé,3.785714286,362
Clay Pit,3.764705882,367
Nasha,3.686170213,368
CRÚ Food & Wine Bar - The Domain,3.679144385,367
Snarf’s Sandwiches,3.37037037,108
