ID,URL,labels
1,https://d2g8igdw686xgo.cloudfront.net/21559034_1498239820.7525.jpg, face  girl  face gear smile
2,https://d2g8igdw686xgo.cloudfront.net/24030394_1505916501.7583.jpg,person black and white monochrome photography  face  smile photography gentleman  face gear  face  monochrome
3,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/2292756_fb_1412217240.018_funds.jpg,child  face   face  infant  face   face  mouth ear finger toddler
4,https://d2g8igdw686xgo.cloudfront.net/28273482_1529574739702741_r.jpeg,tourism smile vacation girl travel tree temple recreation city fun
5,https://d2g8igdw686xgo.cloudfront.net/34617220_1542458378197324_r.jpeg,face  face  expression person  face  smile  face   face   face   ﻿face  jaw neck
6,https://d2g8igdw686xgo.cloudfront.net/34376688_1541799416636164_r.jpeg,team sport team sports sport venue competition tournament player
7,https://d2g8igdw686xgo.cloudfront.net/28510714_1522755107.9648.jpg,person sports running marathon recreation race individual sports long distance running physical exercise road
8,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/3559321_1444995144.5128.jpg,people social group youth community family fun recreation girl child vacation
9,https://d2g8igdw686xgo.cloudfront.net/19754130_1492566444.4219.jpg,community vehicle  vehicle  cheque job event
10,https://d2g8igdw686xgo.cloudfront.net/18411150_1487780720.9874.jpg,green football grass player ball text ball plant sports sports equipment
11,https://d2g8igdw686xgo.cloudfront.net/19173098_1490481003.4786.png,lacrosse stick lacrosse training equipment team sport net sports player lacrosse tennis equipment and supplies ball game personal protective equipment
12,https://d2g8igdw686xgo.cloudfront.net/34805378_1543078144449967_r.jpeg, glasses  sunglasses glasses vision  vehicle e cool fun smile
13,https://d2g8igdw686xgo.cloudfront.net/29387446_15246014350_r.jpeg,sky watercolor paint yellow painting art modern art acrylic paint paint computer wallpaper artwork
14,https://d2g8igdw686xgo.cloudfront.net/32351344_1537842640460590_r.jpg,skin child human  ﻿face  color eye toddler girl infant fun vacation happiness
15,https://d2g8igdw686xgo.cloudfront.net/22877108_1502228784.9283.jpg,person man  face  smile  face   ﻿face   face  fun vacation sky water
16,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/14098153_1472473700.066.jpg,community youth child state school recreation
17,https://d2g8igdw686xgo.cloudfront.net/34187682_1543426801501017_r.jpeg,text logo font signage line sign area brand graphics symbol
18,https://d2g8igdw686xgo.cloudfront.net/18516762_1488169619.5104.png,water tourism leisure sport venue vacation recreation fun race mural advertising
19,https://d2g8igdw686xgo.cloudfront.net/27976072_1519501947.0043.png,text font purple product violet line logo design product pattern
20,https://d2g8igdw686xgo.cloudfront.net/19710606_1492452412.4323.jpg,running ultramarathon marathon sports race duathlon long distance running individual sports endurance sports outdoor recreation
21,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/11957301_1465084414.4771.jpg,product electronics accessory hardware remote control product electronic device technology
22,https://d2g8igdw686xgo.cloudfront.net/31276376_1531483975657243_r.jpeg,outdoor recreation adventure tree recreation walking plant adventure racing grass race
23,https://d2g8igdw686xgo.cloudfront.net/31987252_1533944053411802_r.jpg,mural tourism team tree recreation fun
24,https://d2g8igdw686xgo.cloudfront.net/28630114_15221835900_r.jpg, face   ﻿face style  face   face  black  ﻿face  human girl photo caption
25,https://d2g8igdw686xgo.cloudfront.net/33215088_1537768437277386_r.jpeg,arm girl product fun senior citizen event
26,https://d2g8igdw686xgo.cloudfront.net/20247578_1494287871.2256.png, ﻿face   face   ﻿face  beard man  face   face  moustache
