ID,URL,labels
1,https://d2g8igdw686xgo.cloudfront.net/20909650_15182940200_r.jpeg,cityscape city metropolitan area metropolis landmark urban area night tourist attraction entertainment downtown
2,https://d2g8igdw686xgo.cloudfront.net/33560168_1540097733930313_r.jpg, ﻿people   people   ﻿people  color  ﻿people style long  ﻿people  blond wood  people   ﻿people  coloring black  ﻿people  brown  ﻿people 
3,https://d2g8igdw686xgo.cloudfront.net/18073130_1486513548.4208.jpg,photograph black and white monochrome photography monochrome alley window history street
4,https://d2g8igdw686xgo.cloudfront.net/27959428_1539891429312186_r.jpeg,property architecture facade real estate commercial building home house window elevation door
5,https://d2g8igdw686xgo.cloudfront.net/23514834_15043064370_r.jpg,home lighting hotel real estate night facade building mixed use landscape lighting
6,https://d2g8igdw686xgo.cloudfront.net/29983006_15266711320_r.jpeg,retail interior design convenience store liquor store display case
7,https://d2g8igdw686xgo.cloudfront.net/25918874_1512475137.031.jpg,sky sunset sunrise horizon sea morning evening sun dusk dawn
8,https://d2g8igdw686xgo.cloudfront.net/32583488_1536221575258730_r.jpg,drink font
9,https://d2g8igdw686xgo.cloudfront.net/17241010_1484040860.0972.jpg,vacation water tourism sea travel  people  beach fun sky  people 
10,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4547790_fb_1431554460.4671_funds.jpg,face  people   people   people   people   people   ﻿people style  people  gentle people  official
11,https://d2g8igdw686xgo.cloudfront.net/29077792_15235281080_r.jpeg,text font product brand online advertising logo computer wallpaper
12,https://d2g8igdw686xgo.cloudfront.net/19820768_1492793042.9875.jpg,people senior citizen  people  plant emotion tree vacation  people  fun friendship
13,https://d2g8igdw686xgo.cloudfront.net/24329378_1506894594.3596.jpg,architecture grass residential area urban design house line energy angle handrail sky
14,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/10594091_1460493796.1614.jpg, people  face eye eyelash  people   people  close up  people  iris eyelash extensions
15,https://d2g8igdw686xgo.cloudfront.net/27469552_15176768320_r.jpeg,people social group community  people  tree recreation house team
16,https://d2g8igdw686xgo.cloudfront.net/29490448_15249367520_r.jpeg,text font logo brand computer wallpaper graphics
17,https://d2g8igdw686xgo.cloudfront.net/19307920_1490919552.8553.jpg, people   people  moustache  people   ﻿people  senior citizen  people  beard gentle people 
18,https://d2g8igdw686xgo.cloudfront.net/20046468_1493598839.2605.jpeg,rock tree geological phenomenon tourism national park plant state park geology water recreation
19,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4084923_1428465000.6931.jpg, people   people  selfie
20,https://d2g8igdw686xgo.cloudfront.net/19887062_14957347760_r.jpg, people   people   ﻿people  event
21,https://d2g8igdw686xgo.cloudfront.net/15170417_1490284878.2326.jpg,shoulder blond  people   people  neck pattern
22,https://d2g8igdw686xgo.cloudfront.net/33474688_1539150293849170_r.jpeg,social group suit formal wear team event ceremony tuxedo fun  people 
23,https://d2g8igdw686xgo.cloudfront.net/21874094_1498672241.404.jpg,loudspeaker sound technology audio flooring electronic device subwoofer audio equipment floor electronics
24,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1034256_1454549339.3341.jpg,fun  people  temple  people   people  happiness tradition water ceremony
25,https://d2g8igdw686xgo.cloudfront.net/33415406_1538445343746759_r.jpeg,technology electronic device display device screen computer hardware multimedia  people al computer electronics computer monitor gadget
26,https://d2g8igdw686xgo.cloudfront.net/28753842_15234898650_r.jpg, people  friendship pattern fun
27,https://d2g8igdw686xgo.cloudfront.net/27848432_1519071122.5395.jpg,text pink font purple beauty violet magenta logo product brand
