web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time,updates,updates-href,createdby,shares
"1543711846-1126","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/3vpf7mw","https://d2g8igdw686xgo.cloudfront.net/20909650_15182940200_r.jpeg","goal","$700","9 months","Campaign created 9 months ago","null","","Created February 10, 2018","null"
"1543713791-1853","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/tyqab-business-start-up","https://d2g8igdw686xgo.cloudfront.net/33560168_1540097733930313_r.jpg","of $20,000 goal","$1,045","16","Raised by 16 people in 1 month","Updates   2","https://www.gofundme.com/tyqab-business-start-up#updates","Created October 7, 2018","64"
"1543713092-1594","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/downtowndan","https://d2g8igdw686xgo.cloudfront.net/18073130_1486513548.4208.jpg","of $50,000 goal","$2,860","17","Raised by 17 people in 22 months","null","","null","287"
"1543713056-1580","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/au7trz-disabled-veteran-business-startup","https://d2g8igdw686xgo.cloudfront.net/27959428_1539891429312186_r.jpeg","of $3,500 goal","$459","6","Raised by 6 people in 9 months","null","","Created February 23, 2018","81"
"1543712660-1435","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/harvey-devastates-family-business","https://d2g8igdw686xgo.cloudfront.net/23514834_15043064370_r.jpg","of $10,000 goal","$10,595","67","Raised by 67 people in 15 months","Updates   2","https://www.gofundme.com/harvey-devastates-family-business#updates","Created August 31, 2017","250"
"1543712491-1369","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/help-me-stay-in-business-please","https://d2g8igdw686xgo.cloudfront.net/29983006_15266711320_r.jpeg","of $1,200 goal","$75","3","Raised by 3 people in 6 months","null","","Created May 18, 2018","81"
"1543713755-1839","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/africa-point","https://d2g8igdw686xgo.cloudfront.net/25918874_1512475137.031.jpg","of €1,000 goal","€1,000","39","Raised by 39 people in 12 months","Updates   1","https://www.gofundme.com/africa-point#updates","Created December 5, 2017","46"
"1543712642-1428","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/61pcef4","https://d2g8igdw686xgo.cloudfront.net/32583488_1536221575258730_r.jpg","of $300 goal","$70","5","Raised by 5 people in 3 months","null","","Created August 31, 2018","28"
"1543711557-1029","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/helpsavemaria","https://d2g8igdw686xgo.cloudfront.net/17241010_1484040860.0972.jpg","of £100,000 goal","£3,844","51","Raised by 51 people in 23 months","Updates   2","https://www.gofundme.com/helpsavemaria#updates","null","348"
"1543712363-1320","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/steelgatellc","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4547790_fb_1431554460.4671_funds.jpg","of $3,500 goal","$1,090","35","Raised by 35 people in 43 months","Updates   18","https://www.gofundme.com/steelgatellc#updates","null","333"
"1543711573-1035","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/laura-loves-outloud","","of $150,000 goal","$81,560","822","Raised by 822 people in 24 days","Updates   2","https://www.gofundme.com/laura-loves-outloud#updates","Created November 6, 2018","6.0k"
"1543713762-1842","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/help-a-fellow-power-washer","https://d2g8igdw686xgo.cloudfront.net/29077792_15235281080_r.jpeg","of $3,250 goal","$272","7","Raised by 7 people in 7 months","Updates   1","https://www.gofundme.com/help-a-fellow-power-washer#updates","Created April 12, 2018","82"
"1543713273-1659","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/small-business-for-quentin","https://d2g8igdw686xgo.cloudfront.net/19820768_1492793042.9875.jpg","of $12,000 goal","$1,450","25","Raised by 25 people in 19 months","Updates   3","https://www.gofundme.com/small-business-for-quentin#updates","null","282"
"1543711818-1116","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/ugtz7-sigma-nu-for-happiness","https://d2g8igdw686xgo.cloudfront.net/24329378_1506894594.3596.jpg","of $3,500 goal","$2,330","48","Raised by 48 people in 14 months","null","","Created October 1, 2017","186"
