web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time,updates,updates-href,createdby,shares
"1543706647-735","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/fasting-charity-walk-2017","https://d2g8igdw686xgo.cloudfront.net/21559034_1498239820.7525.jpg","of £1,500 goal","£1,100","11","Raised by 11 people in 17 months","null","","Created June 23, 2017","46"
"1543707114-908","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/john-shorrtt-charity-race","https://d2g8igdw686xgo.cloudfront.net/24030394_1505916501.7583.jpg","of €5,000 goal","€1,800","31","Raised by 31 people in 14 months","null","","Created September 25, 2017","382"
"1543705602-350","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/fbh95c","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/2292756_fb_1412217240.018_funds.jpg","of $1 goal","$8,240","170","Raised by 170 people in 50 months","Updates   1","https://www.gofundme.com/fbh95c#updates","null","1.0k"
"1543706228-574","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/JensSkyDive","https://d2g8igdw686xgo.cloudfront.net/28273482_1529574739702741_r.jpeg","of £1,000 goal","£840","58","Raised by 58 people in 8 months","Updates   4","https://www.gofundme.com/JensSkyDive#updates","Created March 9, 2018","175"
"1543707169-928","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/help-us-eggscape-durham-uni-for-charity","https://d2g8igdw686xgo.cloudfront.net/34617220_1542458378197324_r.jpeg","of £250 goal","£315","22","Raised by 22 people in 14 days","null","","Created November 17, 2018","39"
"1543706026-498","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/vetvsfuture-starz-charity-game","https://d2g8igdw686xgo.cloudfront.net/34376688_1541799416636164_r.jpeg","raised","$144","null","null","null","","null","null"
"1543705960-472","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/skidrowmarathon","https://d2g8igdw686xgo.cloudfront.net/28510714_1522755107.9648.jpg","of £5,000 goal","£282","16","Raised by 16 people in 8 months","null","","Created March 19, 2018","21"
"1543707155-923","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/RoseofCharity","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/3559321_1444995144.5128.jpg","of $100,000 goal","$18,562","115","Raised by 115 people in 45 months","Updates   28","https://www.gofundme.com/RoseofCharity#updates","null","553"
"1543706830-805","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/6th-annual-legacy-charity-event","https://d2g8igdw686xgo.cloudfront.net/19754130_1492566444.4219.jpg","of $4,000 goal","$1,091","26","Raised by 26 people in 19 months","null","","null","381"
"1543706550-697","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/ourfamilyandyours-golf-tournament","https://d2g8igdw686xgo.cloudfront.net/18411150_1487780720.9874.jpg","of $5,000 goal","$525","22","Raised by 22 people in 21 months","null","","null","294"
"1543706355-623","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/all-area-honors-charity-event","https://d2g8igdw686xgo.cloudfront.net/19173098_1490481003.4786.png","of $300 goal","$150","8","Raised by 8 people in 20 months","Updates   3","https://www.gofundme.com/all-area-honors-charity-event#updates","null","78"
"1543705618-356","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/mason039s-xbox-one-x-charity-fund","https://d2g8igdw686xgo.cloudfront.net/34805378_1543078144449967_r.jpeg","of $1,000 goal","$62","8","Raised by 8 people in 7 days","null","","Created November 24, 2018","28"
"1543706637-731","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/5K-APPLEFIELDS-CHARITY","https://d2g8igdw686xgo.cloudfront.net/29387446_15246014350_r.jpeg","of £100 goal","£120","17","Raised by 17 people in 7 months","null","","Created April 24, 2018","17"
"1543705681-379","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/more-precious-than-rubies","https://d2g8igdw686xgo.cloudfront.net/32351344_1537842640460590_r.jpg","of $25,000 goal","$6,855","67","Raised by 67 people in 3 months","null","","Created August 22, 2018","309"
"1543706365-627","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/volunteering-for-refugee-charities","https://d2g8igdw686xgo.cloudfront.net/22877108_1502228784.9283.jpg","of £1,000 goal","£1,025","32","Raised by 32 people in 16 months","null","","Created August 8, 2017","105"
"1543705287-248","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/MotherCharity","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/14098153_1472473700.066.jpg","of €6,200 goal","€2,047","41","Raised by 41 people in 27 months","Updates   1","https://www.gofundme.com/MotherCharity#updates","null","372"
"1543706032-500","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/aboyamanandhiskite","","of $100,000 goal","$10,471","82","Raised by 82 people in 42 months","Updates   10","https://www.gofundme.com/aboyamanandhiskite#updates","null","400"
"1543707313-981","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/echl-charity-fundraising","https://d2g8igdw686xgo.cloudfront.net/34187682_1543426801501017_r.jpeg","of $3,000 goal","$2,763","72","Raised by 72 people in 29 days","null","","Created November 2, 2018","73"
"1543706345-619","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/mudjimba-island-charity-swim","https://d2g8igdw686xgo.cloudfront.net/18516762_1488169619.5104.png","of $2,500 goal","$2,651","28","Raised by 28 people in 21 months","Updates   6","https://www.gofundme.com/mudjimba-island-charity-swim#updates","null","266"
"1543704898-131","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/ljv-charity-run","https://d2g8igdw686xgo.cloudfront.net/27976072_1519501947.0043.png","of $2,000 goal","$860","12","Raised by 12 people in 9 months","null","","Created February 24, 2018","95"
"1543705688-382","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/runforlaura","https://d2g8igdw686xgo.cloudfront.net/19710606_1492452412.4323.jpg","of €500 goal","€735","41","Raised by 41 people in 19 months","Updates   1","https://www.gofundme.com/runforlaura#updates","null","47"
"1543704609-44","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/27w3q9d7","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/11957301_1465084414.4771.jpg","of $2,000 goal","$935","23","Raised by 23 people in 30 months","Updates   11","https://www.gofundme.com/27w3q9d7#updates","null","386"
"1543704920-138","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/conquering-stok-kangri-for-cancer","https://d2g8igdw686xgo.cloudfront.net/31276376_1531483975657243_r.jpeg","of $3,500 goal","$3,660","50","Raised by 50 people in 4 months","Updates   2","https://www.gofundme.com/conquering-stok-kangri-for-cancer#updates","Created July 13, 2018","192"
"1543705274-244","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/for-the-children-who-need-our-help","https://d2g8igdw686xgo.cloudfront.net/31987252_1533944053411802_r.jpg","of £200 goal","£145","14","Raised by 14 people in 3 months","null","","Created August 8, 2018","83"
"1543705644-365","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/the-iambethany-charity-comedy-show","https://d2g8igdw686xgo.cloudfront.net/28630114_15221835900_r.jpg","of $1,500 goal","$585","15","Raised by 15 people in 8 months","Updates   12","https://www.gofundme.com/the-iambethany-charity-comedy-show#updates","Created March 24, 2018","164"
"1543704737-82","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity","","https://www.gofundme.com/raising-money-for-jeffrey-dwyer","https://d2g8igdw686xgo.cloudfront.net/33215088_1537768437277386_r.jpeg","of $10,000 goal","$1,925","10","Raised by 10 people in 2 months","null","","Created September 24, 2018","103"
