web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543372543-666","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-etc-open-its-doors-this-fall","https://d2g8igdw686xgo.cloudfront.net/33036666_1537196759478096_r.jpeg","of $25,000 goal","$700","2","Raised by 2 people in 2 months"
"1543378971-767","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/anchor-inc-building-fund","","of $50,000 goal","$385","13","Raised by 13 people in 24 months"
"1543384377-848","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/kevins-programming-bootcamp-fund","https://d2g8igdw686xgo.cloudfront.net/28290618_15206611460_r.jpg","goal","$5,000","8 months","Campaign created 8 months ago"
"1543383957-845","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/andrewsfundforedu","https://d2g8igdw686xgo.cloudfront.net/22036936_fb_1511853293.1273_funds.jpg","goal","$2,000","12 months","Campaign created 12 months ago"
"1543370560-633","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/support-for-abibifahodie-adesuabea","","of $476,500 goal","$135","3","Raised by 3 people in 7 months"
"1543366085-403","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/money-need-for-education","https://d2g8igdw686xgo.cloudfront.net/33599656_153948088472091_r.jpeg","goal","$3,000","1 month","Campaign created 1 month ago"
"1543365533-260","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/allergykids","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/14727985_1474677725.3796.jpg","of $2,500 goal","$1,575","21","Raised by 21 people in 26 months"
"1543369058-609","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/selfless-tichas-dream-masters","https://d2g8igdw686xgo.cloudfront.net/26459516_1514074297.6528.jpg","of $53,860 goal","$80","1","Raised by 1 person in 11 months"
"1543365951-369","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/bit-by-bit","https://d2g8igdw686xgo.cloudfront.net/18451838_15055946310_r.jpg","of $2,000 goal","$2,000","28","Raised by 28 people in 21 months"
"1543369238-612","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/garingerscience","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/3606156_1425681276.0812.jpg","of $1,750 goal","$950","6","Raised by 6 people in 45 months"
"1543379151-770","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/digitalclassroom","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/5175984_1436058704.4521.jpg","of $1,000 goal","$1,025","17","Raised by 17 people in 41 months"
"1543365932-365","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/tanafamilyscholarship2","https://d2g8igdw686xgo.cloudfront.net/30282722_15277983500_r.jpeg","of $12,000 goal","$5,700","40","Raised by 40 people in 6 months"
"1543385218-861","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/gofundmecomNeighborHOODComp","https://d2g8igdw686xgo.cloudfront.net/31954994_1533650140810560_r.jpeg","goal","$50,000","3 months","Campaign created 3 months ago"
"1543366518-516","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/masogoschool","https://d2g8igdw686xgo.cloudfront.net/27063558_1516298054.0138.png","goal","$2,400","10 months","Campaign created 10 months ago"
"1543372783-670","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/HendersonHigh","https://d2g8igdw686xgo.cloudfront.net/28393244_15210449690_r.jpeg","of $1,200 goal","$330","6","Raised by 6 people in 8 months"
"1543366173-427","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/kvwh97-higher-education-fund","https://d2g8igdw686xgo.cloudfront.net/32341316_1534932578405851_r.jpeg","goal","$27,000","3 months","Campaign created 3 months ago"
"1543369479-616","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/v7nxn-macbook","https://d2g8igdw686xgo.cloudfront.net/28588656_15217610100_r.jpeg","of $1,800 goal","$10","1","Raised by 1 person in 8 months"
