web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image_labels,REPLACED_LABELS,Ambience attributes,Human/ facial attributes,Objects/ animals,Product attributes,goal,Raised,people,time,updates,updates-href,createdby,today,no of days,shares
1543711846-1126,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/3vpf7mw,https://d2g8igdw686xgo.cloudfront.net/20909650_15182940200_r.jpeg,cityscape city metropolitan area metropolis landmark urban area night tourist attraction entertainment downtown,cityscape city metropolitan area metropolis landmark urban area night tourist attraction entertainment downtown,0.902985075,0.007462687,0.082089552,0.007462687,700,0,0,Campaign created 9 months ago,0,,2/10/18,12/5/18,297,0
1543713791-1853,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/tyqab-business-start-up,https://d2g8igdw686xgo.cloudfront.net/33560168_1540097733930313_r.jpg,hair human hair color hairstyle long hair blond wood girl hair coloring black hair brown hair, _people   people   _people  color  _people style long  _people  blond wood  people   _people  coloring black  _people  brown  _people ,0.067073171,0.920731707,0.006097561,0.006097561,20000,1045,16,Raised by 16 people in 1 month,   2,https://www.gofundme.com/tyqab-business-start-up#updates,10/7/18,12/5/18,58,64
1543713056-1580,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/au7trz-disabled-veteran-business-startup,https://d2g8igdw686xgo.cloudfront.net/27959428_1539891429312186_r.jpeg,property architecture facade real estate commercial building home house window elevation door,property architecture facade real estate commercial building home house window elevation door,0.975806452,0.008064516,0.008064516,0.008064516,3500,459,6,Raised by 6 people in 9 months,0,,2/23/18,12/5/18,284,81
1543712660-1435,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/harvey-devastates-family-business,https://d2g8igdw686xgo.cloudfront.net/23514834_15043064370_r.jpg,home lighting hotel real estate night facade building mixed use landscape lighting,home lighting hotel real estate night facade building mixed use landscape lighting,0.975806452,0.008064516,0.008064516,0.008064516,10000,10595,67,Raised by 67 people in 15 months,   2,https://www.gofundme.com/harvey-devastates-family-business#updates,8/31/17,12/5/18,460,250
1543712491-1369,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-me-stay-in-business-please,https://d2g8igdw686xgo.cloudfront.net/29983006_15266711320_r.jpeg,retail interior design convenience store liquor store display case,retail interior design convenience store liquor store display case,0.010638298,0.010638298,0.010638298,0.968085106,1200,75,3,Raised by 3 people in 6 months,0,,5/18/18,12/5/18,200,81
1543713755-1839,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/africa-point,https://d2g8igdw686xgo.cloudfront.net/25918874_1512475137.031.jpg,sky sunset sunrise horizon sea morning evening sun dusk dawn,sky sunset sunrise horizon sea morning evening sun dusk dawn,0.971153846,0.009615385,0.009615385,0.009615385,1130,1130,39,Raised by 39 people in 12 months,   1,https://www.gofundme.com/africa-point#updates,12/5/17,12/5/18,364,46
1543712642-1428,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/61pcef4,https://d2g8igdw686xgo.cloudfront.net/32583488_1536221575258730_r.jpg,drink font,drink font,0.041666667,0.041666667,0.458333333,0.458333333,300,70,5,Raised by 5 people in 3 months,0,,8/31/18,12/5/18,95,28
1543711573-1035,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/laura-loves-outloud,,#N/A,#N/A, , , , ,150000,81560,822,Raised by 822 people in 24 days,   2,https://www.gofundme.com/laura-loves-outloud#updates,11/6/18,12/5/18,28,6000
1543713762-1842,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-a-fellow-power-washer,https://d2g8igdw686xgo.cloudfront.net/29077792_15235281080_r.jpeg,text font product brand online advertising logo computer wallpaper,text font product brand online advertising logo computer wallpaper,0.010638298,0.010638298,0.010638298,0.968085106,3250,272,7,Raised by 7 people in 7 months,   1,https://www.gofundme.com/help-a-fellow-power-washer#updates,4/12/18,12/5/18,236,82
1543711818-1116,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ugtz7-sigma-nu-for-happiness,https://d2g8igdw686xgo.cloudfront.net/24329378_1506894594.3596.jpg,architecture grass residential area urban design house line energy angle handrail sky,architecture grass residential area urban design house line energy angle handrail sky,0.653225806,0.008064516,0.008064516,0.330645161,3500,2330,48,Raised by 48 people in 14 months,0,,10/1/17,12/5/18,429,186
1543712599-1412,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-a-family-business-get-started,https://d2g8igdw686xgo.cloudfront.net/27469552_15176768320_r.jpeg,people social group community family tree recreation house team,people social group community  people  tree recreation house team,0.968085106,0.010638298,0.010638298,0.010638298,6500,1875,15,Raised by 15 people in 10 months,   4,https://www.gofundme.com/help-a-family-business-get-started#updates,2/3/18,12/5/18,304,125
1543711950-1164,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/aid-a-young-boy-start-a-business,https://d2g8igdw686xgo.cloudfront.net/29490448_15249367520_r.jpeg,text font logo brand computer wallpaper graphics,text font logo brand computer wallpaper graphics,0.013513514,0.013513514,0.013513514,0.959459459,635,0,0,Campaign created 7 months ago,0,,4/28/18,12/5/18,220,0
1543712689-1446,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-leaders-rising-to-the-top,https://d2g8igdw686xgo.cloudfront.net/33474688_1539150293849170_r.jpeg,social group suit formal wear team event ceremony tuxedo fun family,social group suit formal wear team event ceremony tuxedo fun  people ,0.710526316,0.271929825,0.00877193,0.00877193,2000,2275,34,Raised by 34 people in 1 month,0,,10/6/18,12/5/18,59,49
