web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image labels,REPLACED_LABELS,"Team, sport, group activities","Enviromental attributes (recreational, fun, activities)","Product, brand attributes","Face, Skin, human expressions",goal,Raised,people,time,updates,updates-href,createdby,today,days,shares,people
1543704721-77,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/pgy45c,https://d2g8igdw686xgo.cloudfront.net/35002586_1543661086258300_r.jpeg,event,event,0.029411765,0.029411765,0.911764706,0.029411765,51,127,9,Raised by 9 people in 11 hours,0,,1-Dec-18,5-Dec-18,3,25,0
1543707150-921,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/hmsx7p,https://d2g8igdw686xgo.cloudfront.net/35004616_1543678092675183_r.jpeg,people community youth fun team product smile glasses vacation recreation,people community youth fun team product  people  glasses vacation recreation,0.071428571,0.915584416,0.006493506,0.006493506,10000,795,16,Raised by 16 people in 8 hours,0,,1-Dec-18,5-Dec-18,3,343,1
1543707316-982,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ivymae-dimenna-to-help-charity-supporting-us,https://d2g8igdw686xgo.cloudfront.net/34977972_1543577690399453_r.jpeg,infant product child medical equipment textile medical service,infant product  people  medical equipment textile medical service,0.008064516,0.975806452,0.008064516,0.008064516,635,514,32,Raised by 32 people in 1 day,0,,30-Nov-18,5-Dec-18,4,100,1
1543707275-966,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/emersynscharityrideCButc,https://d2g8igdw686xgo.cloudfront.net/34972172_1543615269254409_r.jpg,face child head eyebrow headgear eye product cheek toddler forehead,face  people   people   people   people gear eye product  people   people   people ,0.008064516,0.008064516,0.975806452,0.008064516,2000,1780,26,Raised by 26 people in 1 day,2,https://www.gofundme.com/emersynscharityrideCButc#updates,29-Nov-18,5-Dec-18,5,73,1
1543707359-999,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/endroughsleeping,https://d2g8igdw686xgo.cloudfront.net/33974332_1543323172633536_r.jpeg,text font,text font,0.009615385,0.009615385,0.971153846,0.009615385,127000,20074,335,Raised by 335 people in 3 days,0,,28-Nov-18,5-Dec-18,6,12,0
1543706742-771,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/tbpss-our-new-beginning,https://d2g8igdw686xgo.cloudfront.net/34944498_1543468962594982_r.jpeg,hair woman human hair color girl room blond hairstyle shoulder fun mouth, ﻿people  wo people   people   ﻿people  color  people  room blond  ﻿people style shoulder fun mouth,0.008064516,0.088709677,0.572580645,0.330645161,1500,715,10,Raised by 10 people in 2 days,0,,28-Nov-18,5-Dec-18,6,123,1
1543705663-372,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/6hcuu3c,,#N/A,#N/A, , , , ,5000,350,5,Raised by 5 people in 3 days,2,https://www.gofundme.com/6hcuu3c#updates,28-Nov-18,5-Dec-18,6,170,0
1543707340-992,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/gj9vg-charity-shave,https://d2g8igdw686xgo.cloudfront.net/34891696_1543342690381964_r.jpeg,hair facial hair beard chin nose forehead moustache selfie jaw, ﻿people   people   ﻿people  beard  people   people   people  moustache selfie jaw,0.008064516,0.169354839,0.733870968,0.088709677,1130,1814,57,Raised by 57 people in 4 days,1,https://www.gofundme.com/gj9vg-charity-shave#updates,27-Nov-18,5-Dec-18,7,295,1
1543707073-893,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/for-the-LBS-babies-for-charity,https://d2g8igdw686xgo.cloudfront.net/34896966_1543351154742922_r.jpeg,nose cheek chin selfie mouth lip organ muscle product fun, people   people   people  selfie mouth  people  organ muscle product fun,0.00877193,0.00877193,0.973684211,0.00877193,762,292,24,Raised by 24 people in 4 days,0,,27-Nov-18,5-Dec-18,7,8,1
1543704579-37,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/final-year-charity-event,https://d2g8igdw686xgo.cloudfront.net/34884224_1543417597471375_r.jpeg,text line triangle area font logo angle triangle product brand,text line triangle area font logo angle triangle product brand,0.920731707,0.006097561,0.006097561,0.067073171,318,229,11,Raised by 11 people in 4 days,0,,27-Nov-18,5-Dec-18,7,78,0
