Brand Pairs,Lift Values,
bmw_audi,1.607920984,0.621921108
bmw_lexus,2.089197116,0.478652776
bmw_honda,1.181196309,0.846599327
bmw_nissan,1.182691494,0.845529037
bmw_subaru,1.198733722,0.834213622
bmw_toyota,1.335909865,0.748553496
bmw_volkswagen,1.431539408,0.698548705
bmw_ford,1.302268931,0.767890546
bmw_porsche,1.757960633,0.568840952
audi_lexus,2.185105467,0.457643814
audi_honda,1.273291925,0.785365854
audi_nissan,1.300220143,0.769100529
audi_subaru,1.794190241,0.557354497
audi_toyota,1.104859335,0.905092593
audi_volkswagen,4.497079818,0.222366522
audi_ford,1.83423913,0.545185185
audi_porsche,2.432432432,0.411111111
lexus_honda,1.306930693,0.765151515
lexus_nissan,1.228349417,0.814100602
lexus_subaru,1.284102209,0.778754209
lexus_toyota,2.767617938,0.361321549
lexus_volkswagen,1.580020689,0.632903105
lexus_ford,1.396782178,0.715931242
lexus_porsche,2.225314423,0.449374699
honda_nissan,4.773960217,0.209469697
honda_subaru,1.50966937,0.662396694
honda_toyota,5.546218487,0.18030303
honda_volkswagen,2.423596304,0.412609971
honda_ford,2.553571429,0.391608392
honda_porsche,2.265122265,0.441477273
nissan_subaru,1.477530264,0.676805088
nissan_toyota,4.865227103,0.205540251
nissan_volkswagen,2.992631778,0.33415404
nissan_ford,1.527294304,0.654752655
nissan_porsche,0.846732809,1.181010101
subaru_toyota,1.83097868,0.546156004
subaru_volkswagen,2.193834322,0.455822935
subaru_ford,2.593886463,0.385521886
subaru_porsche,1.869467721,0.534911616
toyota_volkswagen,2.433713784,0.410894661
toyota_ford,3.202941176,0.312213039
toyota_porsche,1.888712242,0.529461279
volkswagen_ford,2.401119403,0.416472416
volkswagen_porsche,1.863654699,0.536580087
ford_porsche,2.675675676,0.373737374
