ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, location, text
911322026639585281,ICObook,536,150,,0,407,19,Worldwide,RT @LaserOnlineLLC: Japan now represents one of the most cryptocurrency-friendly countries in Asia. Read more: https://t.co/fRFrd3xRUk http…
877816359400472576,Richmon_1,9231,12,,0,9293,14,Украина,RT @nimfamoney: Nimfamoney — cryptocurrency lending platform. Token: $NIMFA (ERC-20). We can TRIPLE your funds for cryptotrading: 👉👉👉https:…
630046255,KBRCapital,512,1,,0,520,38,"Oslo, Norway","RT @IGSquawk: Crypto update:
#BITCOIN  4272.65  -2.72%
#ETHER  290.61  -2.02%
#BITCOINCASH  396.75  -3.76%
#cryptocurrency
#BTC #ETH #BCH"
3278607872,TalkJoint,1758,106,,0,1825,144,,"RT @HomeTokenIO: @HomeTokenIO is now on CoinSchedule! #bitcoin #cryptocurrency #fintech #ethereum #ico #crowdsale #TokenSale
https://t.co/S…"
162129071,drhassanqazi,10519,307,,0,2663,6,Whole World,"RT @worldcoresocial: #Worldcore tokens #presale started!
The #tokens can be purchased by anyone with #Bitcoin or #Eth #cryptocurrency on ht…"
447360004,mcfomcrytpo,2184,3,,0,546,100,Bitcoin,"RT @alttradex: Alttradex on Medium: ""Trading platforms and the cryptocurrency space"" https://t.co/c6qsL1PCuP #Alttradex #ICO #Crypto #BTC #…"
16733544,skishore,1876,0,,1,300,56,"San Jose, CA",#Wishcoin #cryptocurrency for charity. Great !  via @ukfundraising https://t.co/65DftTynNV
598121972,byebunny,84,31,,0,109,3,,"RT @ChasyrsOnly: ""Like I've always told you, you put your mind to it, you can accomplish anything."" 😎🚘⚡️
#cryptocurrency #startup
https://t…"
915310449012367361,cryptocoins101,1,1,,0,53,0,"Colorado, USA",RT @andh87: 2 days left for the ICO bonus that is currently available! #bitcoin #cryptocurrency #Crypto https://t.co/hpi9TMjiGA
114883591,2kalis,263,159,,0,605,2,,"RT @EDinarWorldwide: Former Virtu Trader Plans Decentralized Cryptocurrency Exchange
https://t.co/KxS7GhcdrU
#blockchain #cryptocurrency #E…"
1861259612,GladysJadagu,110,212,,0,118,6,Harare,RT @futurism: Dubai wants to be the first country whose economy runs on blockchain. https://t.co/Joqu33yDI7
114883591,2kalis,263,159,,0,605,2,,"RT @EDinarWorldwide: Japanese Banks To Introduce Blockchain ID System To Facilitate Customer Onboarding
https://t.co/qNecmyJDqq
#blockchain…"
146953552,uasociolog,64508,14,,0,59,226,"Zaporozhye, Ukraine","RT @anryze: Look to Advisers of Anryze project! 
Details here: https://t.co/C8CDlT27oN
#Anryze $Waves #blockchain #bitcoin #crypto #cryptoc…"
49311606,cgledhill,56027,0,,2,52097,2647,"London, England","#emCash is #Dubai’s First Official State #Cryptocurrency 

https://t.co/5DzBKr1DCc #fintech https://t.co/Kkf0sBEIIE"
114883591,2kalis,263,165,,0,605,2,,"RT @EDinarWorldwide: If you do not have enough money - look for an additional kind of earnings! https://t.co/XUtj7jtam1 
#blockchain #crypt…"
870975957125013504,SergeyL80054504,159,96,,0,361,0,"Санкт-Петербург, Россия","RT @NEMofficial: Tech Bureau Japan Launches Cryptocurrency Fundraising Medium, “COMSA”.
https://t.co/4l5lTrLr3S https://t.co/vGPE1OXgSI"
3278607872,TalkJoint,1758,320,,0,1825,144,,RT @UTRUST_Official: What does UTRUST stand for? - Read about our values here -&gt; https://t.co/LUXt34vmEy #blockchain #payment #protection #…
4066577596,Blawpawx,11073,150,,0,3925,2,KKTC,RT @PundiXLabs: Thanks to @dailysocial for featuring us. (cc:@PrayogoRyza) https://t.co/rivnwlBzVS
807025928618606592,BlockchainFreed,918,0,,1,1271,31,"Seattle, WA",Bitcoin Price - How To Track Segwit2x Progress https://t.co/kmDMjTFLkH
191201898,Theo_Rouer,149,0,,0,753,18,"Paris, France",IMF Head Foresees the End of Banking and the Triumph of Cryptocurrency | Jeffrey A. Tucker https://t.co/B47UaVrH4K via @feeonline
4066577596,Blawpawx,11073,265,,0,3925,2,KKTC,"RT @PundiXLabs: This is our goal, any store can buy, sell, and accept Cryptocurrency. #PundiX https://t.co/mIpKvNAJbp"
551290354,CdnChange,23426,1,,0,572,81,Canada,RT @itworldca: Why @wmougayar wrote open letter asking for changes on #cryptocurrency handling from Canadian securities regulators https://…
902332173994287104,crypto_gk,64,32,,0,149,0,"Lakewood, CA","RT @bbands: Everyone needs to have a finger in this pie, they just can't ignore crypto anymore. https://t.co/S6P2q2sQGG"
2551992944,uk_stocktweets,13958,0,,0,13455,392,UK,#Investors Learn the 10 Most Important Facts About #Bitcoin in this Factual #CryptoCurrency Article HERE &gt;&gt;&gt;&gt;&gt;… https://t.co/7ycj6VKMVd
2534236977,Pensiongold,15005,0,,0,9683,320,"UK, Gibraltar & Spain",#Investors Learn the 10 Most Important Facts About #Bitcoin in this Factual #CryptoCurrency Article HERE &gt;&gt;&gt;&gt;&gt;… https://t.co/pqFMruhyDo
808250671963209728,StocksSocial1,5556,0,,0,5934,76,Worldwide,#Investors Learn the 10 Most Important Facts About #Bitcoin in this Factual #CryptoCurrency Article HERE &gt;&gt;&gt;&gt;&gt;… https://t.co/GrT4gCFp7I
4838837229,Options_Buddy,11310,0,,0,8701,327,UK,#Investors Learn the 10 Most Important Facts About #Bitcoin in this Factual #CryptoCurrency Article HERE &gt;&gt;&gt;&gt;&gt;… https://t.co/xEbKSA0PwC
4038632470,TradingOilBuddy,13086,0,,0,8692,285,UK,#Investors Learn the 10 Most Important Facts About #Bitcoin in this Factual #CryptoCurrency Article HERE &gt;&gt;&gt;&gt;&gt;… https://t.co/zoDNB1cG2Y
